Cluster,GooglePatentsID,publication_number,application_number,publication_date,grant_date,title,abstract,assignee,claims_text
B,US12192559,US-12192559-B2,US-202318224106-A,20250107.0,20250107.0,System and method for configuring controlling device functionality,A controlling device is automatically configured to issue a communication directly to a first controllable appliance to control a functional operation of the first controllable appliance in the event that the first controllable appliance is determined to be unresponsive to a command communication transmitted to the first controllable appliance via a digital communications link or to issue a communication to a second controllable appliance to control the functional operation of the first controllable appliance via a digital communications link in the event that first controllable appliance is determined to be responsive to a command communication transmitted to the first controllable appliance via a digital communications link.,['Universal Electronics Inc.'],"What is claimed is: 
     
       1. A controlling device, comprising:
 a communication interface; 
 a processing device coupled to the communication interface; and 
 a memory storing instructions executable by the processing device to cause the controlling device to perform steps comprising: 
 receiving from a first controllable device via the communication interface a data that identifies a communication port of a second controllable appliance to which the first controllable appliance is communicatively coupled; and 
 using the data received from the first controllable device to automatically configure a predetermined input element of the controlling device whereupon a subsequent activation of the predetermined input element of the controlling device will cause a transmission of a command via use of the communication interface for causing the second controllable appliance to make active the communications port of the second controllable appliance to which the first controllable appliance is communicatively coupled. 
 
     
     
       2. The controlling device as recited in  claim 1 , wherein the instructions cause the controlling device to be entered into a setup mode for configuring the predetermined input element of the controlling device prior to using the data received from the first controllable device to automatically configure the predetermined input element of the controlling device. 
     
     
       3. The controlling device as recited in  claim 2 , wherein the controlling device is caused to enter into the setup mode for configuring the predetermined input element of the controlling device in response to receiving an instruction via the communication interface from the first controllable appliance. 
     
     
       4. The controlling device as recited in  claim 3 , wherein the predetermined input element of the controlling device comprises a hard key. 
     
     
       5. The controlling device as recited in  claim 3 , wherein the predetermined input element of the controlling device comprises a soft key. 
     
     
       6. The controlling device as recited in  claim 1 , wherein the communication interface comprises a radio frequency interface. 
     
     
       7. The controlling device as recited in  claim 1 , wherein the communication interface comprises an infrared interface. 
     
     
       8. A method, performed by a controlling device, comprising:
 receiving from a first controllable device via a communication interface of the controlling device a data that identifies a communications port of a second controllable appliance to which the first controllable appliance is communicatively coupled; and 
 using the data received from the first controllable device to automatically configure a predetermined input element of the controlling device whereupon a subsequent activation of the predetermined input element of the controlling device will cause a transmission of a command via use of the communication interface for causing the second controllable appliance to make active the communications port of the second controllable appliance to which the first controllable appliance is communicatively coupled. 
 
     
     
       9. The method as recited in  claim 8 , comprising causing the controlling device to be entered into a setup mode for configuring the predetermined input element of the controlling device prior to using the data received from the first controllable device to automatically configure the predetermined input element of the controlling device. 
     
     
       10. The method as recited in  claim 9 , comprising causing the controlling device to enter into the setup mode for configuring the predetermined input element of the controlling device in response to receiving an instruction via the communication interface from the first controllable appliance. 
     
     
       11. The method as recited in  claim 10 , wherein the predetermined input element of the controlling device comprises a hard key. 
     
     
       12. The method as recited in  claim 10 , wherein the predetermined input element of the controlling device comprises a soft key. 
     
     
       13. The method as recited in  claim 8 , wherein the communication interface comprises a radio frequency interface. 
     
     
       14. The method as recited in  claim 8 , wherein the communication interface comprises an infrared interface. 
     
     
       15. A system, comprising:
 a first controllable appliance; 
 a second controllable appliance communicatively coupled to the first controllable appliance; and 
 a controlling device, comprising: 
 a communication interface; 
 a processing device coupled to the communication interface; and 
 a memory storing instructions executable by the processing device to cause the controlling device to perform steps comprising: 
 receiving from the first controllable device via the communication interface a data that identifies a communication port of the second controllable appliance to which the first controllable appliance is communicatively coupled; and 
 using the data received from the first controllable device to automatically configure a predetermined input element of the controlling device whereupon a subsequent activation of the predetermined input element of the controlling device will cause a transmission of a command via use of the communication interface for causing the second controllable appliance to make active the communications port of the second controllable appliance to which the first controllable appliance is communicatively coupled. 
 
     
     
       16. The system as recited in  claim 15 , wherein the instructions cause the controlling device to be entered into a setup mode for configuring the predetermined input element of the controlling device prior to using the data received from the first controllable device to automatically configure the predetermined input element of the controlling device. 
     
     
       17. The system as recited in  claim 16 , wherein the controlling device is caused to enter into the setup mode for configuring the predetermined input element of the controlling device in response to receiving an instruction via the communication interface from the first controllable appliance. 
     
     
       18. The system as recited in  claim 17 , wherein the predetermined input element of the controlling device comprises a hard key. 
     
     
       19. The system as recited in  claim 17 , wherein the predetermined input element of the controlling device comprises a soft key. 
     
     
       20. The system as recited in  claim 15 , wherein the communication interface comprises a radio frequency interface. 
     
     
       21. The system as recited in  claim 15 , wherein the communication interface comprises an infrared interface."
C,US2717437,US-2717437-A,US-31493352-A,19550913.0,19550913.0,Velvet type fabric and method of producing same,,['Velcro Sa Soulie'],"1. A METHOD FOR PRODUCING A VELVET TYPE FABRIC CONSISTING IN WEAVING TOGETHER A PLURALITY OF WEFT THREADS AND A PLURALITY OF WARP THREADS TOGETHER WITH A PLURALITY OF AUXILIARY WARP THREADS OF SYNTHETIC RESIN MATERIAL, FORMING LOOPS WITH SAID AUXILIARY WARP THREADS ON ONE SURFACE OF THE SO WOVEN FABRIC, SUBMITTING THE SAID LOOPS TO A THERMAL SOURCE, THEREBY CAUSING SAID LOOPS TO RETAIN THEIR SHAPE TO FORM RAISED PILE THREADS, CUTTING SAID LOOPS NEAR THEIR OUTER ENDS, THEREBY FORMING MATERIAL-ENGAGING MEANS ON AT LEAST A PORTION OF SAID PILE THREADS CONSTITUTED BY SAID CUT LOOPS."
C,US1219881,US-1219881-A,US-1914858848-A,19170320.0,19170320.0,Separable fastener.,,['Hookless Fastener Co'],"A fastener comprising a pair of flexible stringers, interlocking members secured at one end thereto in staggered relation, each member having at the free end a rounded recess on one side and a corresponding projection on the opposite side, the recessed side and the end surface of the projection of each member meeting in an edge and constituting guiding means enabling said members to ride one on the other."
C,US6329,US-6329-A,US-6329D-A,18490417.0,18490417.0,mcevoy,,[],The constructing of hooks with a projecting piece beyond the root of the tongue for the purpose above explained.
C,US10307941,US-10307941-B2,US-201615153165-A,20190604.0,20190604.0,Methods of forming dry adhesive structures,"Methods of forming dry adhesives including a method of making a dry adhesive including applying a liquid polymer to the second end of the stem, molding the liquid polymer on the stem in a mold, wherein the mold includes a recess having a cross-sectional area that is less than a cross-sectional area of the second end of the stem, curing the liquid polymer in the mold to form a tip at the second end of the stem, wherein the tip includes a second layer stem; corresponding to the recess in the mold, and removing the tip from the mold after the liquid polymer cures.",['Carnegie Mellon University'],"What is claimed is: 
     
       1. A method of forming a dry adhesive with a structure including a backing layer and a stem, wherein the stem includes a first end and a second end on opposite sides of the stem, and wherein the first end of the stem is connected to the backing layer, comprising:
 applying a liquid polymer to the second end of the stem; 
 after applying the liquid polymer, forming the liquid polymer by contacting the liquid polymer with a tip shaping surface; and 
 after forming the liquid polymer, curing the liquid polymer on the second end of the stem. 
 
     
     
       2. The method of  claim 1 , wherein the liquid polymer is cured while the liquid polymer is in contact with the tip shaping surface. 
     
     
       3. The method of  claim 2 , wherein the surface is non-sticky. 
     
     
       4. The method of  claim 2 , wherein the surface is flat, creating a wide tip having a flat surface. 
     
     
       5. The method of  claim 4 , wherein the wide tip is mushroom-shaped. 
     
     
       6. The method of  claim 4 , wherein the flat surface is perpendicular to the backing layer. 
     
     
       7. The method of  claim 4 , wherein the flat surface is not perpendicular to the backing layer. 
     
     
       8. The method of  claim 1 , wherein forming the liquid polymer does not include using an enclosed mold. 
     
     
       9. The method of  claim 1 , wherein the stem is perpendicular to the backing layer. 
     
     
       10. The method of  claim 1 , wherein the stem is not perpendicular to the backing layer. 
     
     
       11. A method of forming a dry adhesive with a structure including a backing layer and a stem, wherein the stem includes a first end and a second end on opposite sides of the stem, and wherein the first end of the stem is connected to the backing layer, comprising:
 applying a liquid polymer to a first surface; 
 after applying a liquid polymer to the first surface, contacting the second end of the stem to the first surface to coat the second end of the stem with the liquid polymer; 
 withdrawing the second end of the stem from the first surface; 
 contacting the liquid polymer on the second end of the stem to a second surface to form a tip; and 
 after contacting the liquid polymer to a second surface, curing the liquid polymer on the second end of the stem. 
 
     
     
       12. The method of  claim 11 , wherein applying a liquid polymer to a first surface comprises:
 spinning the liquid polymer onto a substrate to create a uniform film of liquid polymer on the substrate."
C,US9908266,US-9908266-B2,US-201514924252-A,20180306.0,20180306.0,Mold fabrication method for gecko-inspired adhesives,"A method of forming synthetic dry adhesives is provided that includes using a combined wedge indenting and orthogonal machining process to form tapered mold cavities in a mold, filling the tapered mold cavities with an elastomeric adhesive, curing the elastomeric adhesive in the tapered mold cavities, and removing the elastomeric adhesive from the mold, where a plurality of tapered lamellar ridges extend from a surface of the elastomeric adhesive.",['The Board Of Trustees Of The Leland Stanford Junior University'],"What is claimed: 
     
       1. A method of forming synthetic dry adhesives, comprising:
 a. using a combined wedge indenting and orthogonal machining process to form tapered mold cavities in a mold; 
 b. filling said tapered mold cavities with an elastomeric adhesive; 
 c. curing said elastomeric adhesive in said tapered mold cavities; and 
 d. removing said elastomeric adhesive from said mold, wherein a plurality of tapered lamellar ridges extend from a surface of said elastomeric adhesive, wherein said wedge indenting and orthogonal machining process comprises using a wedge-shape tool, wherein a centerline of said wedge-shaped tool is set at an angle λ with respect to a top surface of said mold, wherein a trajectory of said tool is at an intermediate angle θ with respect to a top surface of said mold, wherein said angle θ is in a range of 0&lt;θ&lt;2. 
 
     
     
       2. The method according to  claim 1 , wherein said mold comprises a homogeneous wax composition having a Young&#39;s modulus to yield stress ratio E/Y greater than 100. 
     
     
       3. The method according to  claim 1 , wherein said wedge-shaped tool comprises at least a primary bevel. 
     
     
       4. The method according to  claim 1 , wherein said wedge-shaped tool comprises a primary bevel, a secondary bevel and a tertiary bevel. 
     
     
       5. The method according to  claim 1 , wherein said wedge-shaped tool comprises a lubricated surface. 
     
     
       6. The method according to  claim 1 , wherein said wedge-shaped tool is moved along a 2-dimensional or 3-dimensional trajectory into said mold until a tip of said wedge-shaped tool reaches said depth t below a top surface of said mold. 
     
     
       7. The method according to  claim 1 , wherein a trajectory of said wedge-shaped tool is controlled to move displaced mold material in a desired direction, wherein said mold cavities are desirably spaced and a shape of said cavities is controlled. 
     
     
       8. The method according to  claim 1 , wherein said elastomeric adhesive comprises an elastomer selected from the group consisting of silicones, polyurethanes, and polypropylene. 
     
     
       9. The method according to  claim 1 , wherein said substrate surface comprises a smooth or textured surface, wherein said surface is disposed to transfer a desired smoothness or desired texture to a film of said uncured elastomeric material as said uncured elastomeric material cures. 
     
     
       10. The method according to  claim 1 , wherein a siping step is used when said adhesive is de-molded, wherein said siping step comprises a cut perpendicular to said extending tapered lamellar ridge at a desired frequency to improve adhesion on textured surfaces having micro-scale roughness, wherein independent adhesive sections of said extending tapered lamellar ridge conform to said textured surface."
C,US10689549,US-10689549-B2,US-201414766561-A,20200623.0,20200623.0,Microfibers with mushroom-shaped tips for optimal adhesion,"This invention identifies important geometric parameters of an adhesive microfiber with mushroom-shaped tip for improving and optimizing adhesive ability. The magnitude of pull-off stress is dependent on a wedge angle γ and the ratio of the tip radius to the stalk radius β of the mushroom-shaped fiber. Pull-off stress is also found to depend on a dimensionless parameter x, the ratio of the fiber radius to a length-scale related to the dominance of adhesive stress. Finally, the shape of edge tip, where the surface and sides of the mushroom-shaped tip join, is a factor that impacts strength of adhesion. Optimizing ranges for these parameters are identified.","['Nanogriptech, Inc.']","What is claimed is: 
     
       1. A dry adhesive fiber structure with optimized geometric parameters for increasing adhesive performance, comprising:
 a dry adhesive fiber comprising a moldable plastic, the dry adhesive fiber including:
 a mushroom-shaped tip having a flat surface with a radius a t , inwardly inclined sides that form a wedge angle γ with the surface, a tip edge formed by the flat surface and the inclined sides, wherein the tip edge is rounded, and an end opposite the surface; and 
 a stem with a cross-sectional area having (i) a distal end connected to the end of the tip at a tip point of connection, (ii) a proximal end opposite the distal end, and (iii) a longitudinal length with a radius a from the distal end to the proximal end; 
 
 wherein the ratio of a t /a is 1.05-1.4, the wedge angle γ is 20-55, and the normalized pull-off stress at the fiber surface is 0.7-0.9. 
 
     
     
       2. The dry adhesive fiber structure according to  claim 1 , wherein ratio of a t /a is 1.1-1.2, the wedge angle γ is 40-50, and the normalized pull-off stress at the fiber surface is 0.8-0.9. 
     
     
       3. The dry adhesive fiber structure according to  claim 1 , wherein ratio of a t /a is 1.1-1.2, the wedge angle γ is 45, and the normalized pull-off stress at the fiber surface at 0.9. 
     
     
       4. The dry adhesive fiber according to  claim 1 , wherein the tip edge has a radius of curvature of less than 10 nm. 
     
     
       5. The dry adhesive fiber according to  claim 1 , wherein the fiber length varies from 0.5 nm to 500 μm. 
     
     
       6. The dry adhesive fiber according to  claim 1 , wherein the shape of the inclined sides on the underside of the mushroom tip is selected from the group consisting of linear, convex, and concave shapes with respect to the stem axial direction and tip surface."
C,US3009235,US-3009235-A,US-73434758-A,19611121.0,19611121.0,Separable fastening device,,['Internat Velcro Company'],"A separable fastening device comprising two members each provided with a very large number of closely spaced interengageable hooking elements, certain of said hooking elements comprising hooks made of flexible resilient material and certain of said hooking elements comprising loops of flexible resilient material, and each of said members comprising a base of sheet material with said hooking elements secured thereto in positions extending generally vertically from one surface of the base to which they are secured, the number of loops per unit area of said members being substantially greater than the number of hooks per unit area of said members whereby when said surfaces of said members are pressed toward one another in face-to-face relation a very large number of said books will engage a very large number of said loops to secure said members in said face-to-face relation."
C,US7373699,US-7373699-B2,US-68830103-A,20080520.0,20080520.0,Plastic sheet reinforcement,"A strip-form touch fastener component includes a resin base having a front surface from which an array of molded plastic fastener elements project, and a reinforcing knit fabric directly laminated to a side of the resin base opposite the fastener elements, the fabric having float filament sections extending generally along an outer surface of a back side of the fastener component. The float sections are connected to the back side of the fastener component only at their ends, and otherwise lie against the back side of the fastener component to reinforce the resin base against tearing.",['Velcro Industries B.V.'],"1. A strip-form touch fastener component comprising
 a resin base having a front surface from which an array of fastener elements project, each fastener element having
 a stem extending contiguously from the front surface of the base and formed of resin forming at least a portion of the base; and 
 a head disposed on the stem above the base and forming an overhang for releasably engaging fibrous loops; and 
 
 a reinforcing fabric on a side of the resin base opposite the fastener elements, the fabric comprising two distinct layers of yarns, including
 an anchor layer facing the resin base and comprising filaments embedded within resin of the base to anchor the fabric to the base; and 
 an outer layer comprising float filament sections extending generally along an outer surface of a back side of the fastener component, such sections connected to the back side of the fastener component only at their ends, and otherwise lying against the back side of the fastener component. 
 
 
   
   
     2. The touch fastener component of  claim 1  wherein the float filament sections extend generally straight between their connected ends. 
   
   
     3. The touch fastener component of  claim 2  wherein the float filament sections are substantially free of resin of the base between their ends. 
   
   
     4. The touch fastener component of  claim 1  wherein the float filament sections extend no more than about 0.3 millimeter from a back surface of the resin base. 
   
   
     5. The touch fastener component of  claim 4  wherein the float filament sections at least about 0.03 millimeter from the back surface of the resin base. 
   
   
     6. The touch fastener component of  claim 4  wherein the float filament sections extend about 0.15 millimeter from the back surface of the resin base. 
   
   
     7. The touch fastener component of  claim 1  wherein the float filament sections have an average float length of at least about two millimeters. 
   
   
     8. The touch fastener component of  claim 7  wherein the average float length is between about 2 and 10 millimeters. 
   
   
     9. The touch fastener component of  claim 1  wherein an average float length of the float filament sections is more than about 10 times as long as a nominal distance the float filament sections extend from a back surface of the resin base. 
   
   
     10. The touch fastener component of  claim 1  wherein the float filament sections are arranged in a pattern of at least about 150 float filament sections per square centimeter of the back side of the fastener component. 
   
   
     11. The touch fastener component of  claim 1  wherein the float filament sections are sections of filaments of multifilament yarns of the reinforcing fabric. 
   
   
     12. The touch fastener component of  claim 1  wherein the float filament sections extend in a direction generally across the strip-form fastener component. 
   
   
     13. The touch fastener component of  claim 1  wherein the yarns are multifilament yarns. 
   
   
     14. The touch fastener component of  claim 13  wherein each yarn contains from 10 to 13 discrete filaments. 
   
   
     15. The touch fastener component of  claim 13  wherein the yarns are between about 20 and 170 denier. 
   
   
     16. The touch fastener component of  claim 13  wherein each yarn filament is between about 2 and 40 denier. 
   
   
     17. The touch fastener component of  claim 1  wherein the reinforcing fabric is a knit fabric, knit to define a technical face and a technical back. 
   
   
     18. The touch fastener component of  claim 17  wherein the technical face faces the resin base, with the technical back providing the float filament sections. 
   
   
     19. The touch fastener component of  claim 18  wherein the technical back is in an unnapped condition. 
   
   
     20. The touch fastener component of  claim 17  wherein the float filament sections extend no more than about 0.3 millimeter from a back surface of the resin base. 
   
   
     21. The touch fastener component of  claim 20  wherein the float filament sections at least about 0.03 millimeter from the back surface of the resin base. 
   
   
     22. The touch fastener component of  claim 17  wherein an average float length of the float filament sections is more than about 10 times as long as a nominal distance the float filament sections extend from a back surface of the resin base. 
   
   
     23. The touch fastener component of  claim 17  wherein an average float length of the float filament sections is between about 2 and 10 millimeters. 
   
   
     24. The touch fastener component of  claim 17  wherein the reinforcing fabric is a warp knit fabric. 
   
   
     25. The touch fastener component of  claim 24  wherein the fabric comprises between about 20 and 60 courses per inch. 
   
   
     26. The touch fastener component of  claim 25  wherein the fabric comprises between about 47 and 55 courses per inch. 
   
   
     27. The touch fastener component of  claim 24  wherein the fabric comprises between about 15 and 60 wales per inch. 
   
   
     28. The touch fastener component of  claim 27  wherein the fabric comprises between about 32 and 38 wales per inch. 
   
   
     29. The touch fastener component of  claim 17  wherein the fabric is stabilized in a post-knit, cross-wale stretch condition. 
   
   
     30. The touch fastener component of  claim 1  having a Stitch Hole Tear Strength of at least 2.0 pounds. 
   
   
     31. A strip-form touch fastener component comprising
 a resin base having a front surface from which an array of fastener elements project, each fastener element having
 a stem extending contiguously from the front surface of the base and formed of resin forming at least a portion of the base; and 
 a head disposed on the stem above the base and forming an overhang for releasably engaging fibrous loops; and 
 
 a reinforcing fabric directly laminated to a side of the resin base opposite the fastener elements, the fabric comprising a knit material with float filament sections extending generally along an outer surface of a back side of the fastener component, such sections connected to the back side of the fastener component only at their ends, and otherwise lying against the back side of the fastener component. 
 
   
   
     32. The touch fastener component of  claim 31  wherein the float filament sections extend generally straight between their connected ends. 
   
   
     33. The touch fastener component of  claim 32  wherein the float filament sections are substantially free of resin of the base between their ends. 
   
   
     34. The touch fastener component of  claim 31  wherein the float filament sections extend no more than about 0.3 millimeter from a back surface of the resin base. 
   
   
     35. The touch fastener component of  claim 34  wherein the float filament sections at least about 0.03 millimeter from the back surface of the resin base. 
   
   
     36. The touch fastener component of  claim 34  wherein the float filament sections extend about 0.15 millimeter from the back surface of the resin base. 
   
   
     37. The touch fastener component of  claim 31  wherein the float filament sections have an average float length of at least about two millimeters. 
   
   
     38. The touch fastener component of  claim 37  wherein the average float length is between about 2 and 10 millimeters. 
   
   
     39. The touch fastener component of  claim 31  wherein an average float length of the float filament sections is more than about 10 times as long as a nominal distance the float filament sections extend from a back surface of the resin base. 
   
   
     40. The touch fastener component of  claim 31  wherein the float filament sections are arranged in a pattern of at least about 150 filament sections per square centimeter of the back side of the fastener component. 
   
   
     41. The touch fastener component of  claim 31  wherein the float filament sections are sections of filaments of multifilament yarns of the reinforcing fabric. 
   
   
     42. The touch fastener component of  claim 31  wherein the float filament sections extend in a direction generally across the strip-form fastener component. 
   
   
     43. The touch fastener component of  claim 31  wherein the yarns are multifilament yarns. 
   
   
     44. The touch fastener component of  claim 43  wherein each yarn contains from 10 to 13 discrete filaments. 
   
   
     45. The touch fastener component of  claim 43  wherein the yarns are between about 20 and 170 denier. 
   
   
     46. The touch fastener component of  claim 45  wherein the yarns are about 40 denier. 
   
   
     47. The touch fastener component of  claim 43  wherein each yarn filament is between about 2 and 40 denier. 
   
   
     48. The touch fastener component of  claim 47  wherein each yarn filament is between about 3 and 5 denier. 
   
   
     49. The touch fastener component of  claim 31  wherein the reinforcing fabric is knit to define a technical face and a technical back, the technical face facing the resin base and the technical back providing the float filament sections. 
   
   
     50. The touch fastener component of  claim 31  wherein the reinforcing fabric is in an unnapped condition. 
   
   
     51. The touch fastener component of  claim 31  wherein the reinforcing fabric is a warp knit fabric. 
   
   
     52. The touch fastener component of  claim 51  wherein the fabric comprises between about 20 and 60 courses per inch. 
   
   
     53. The touch fastener component of  claim 51  wherein the fabric comprises between about 15 and 60 wales per inch. 
   
   
     54. The touch fastener component of  claim 31  wherein the fabric is stabilized in a post-knit, cross-wale stretch condition. 
   
   
     55. The touch fastener component of  claim 31  having a Stitch Hole Tear Strength of at least 2.0 pounds."
C,US775134,US-775134-A,US-1901084552-A,19041115.0,19041115.0,Razor.,,['Fed Trust Company'],"As a new article of manufacture, a flexible and detachable blade for safety-razors."
C,US5904033,US-5904033-A,US-88705997-A,19990518.0,19990518.0,Vine cutter,"A vine cutter for cutting entangled vines of potato plants in front of a potato harvester so that the vines do not become entangled and accumulated upon a front portion of the potato harvester. The inventive device includes a frame having a pair of upper members and a pair of opposing lower members, a first disc journaled to the frame, a second disc journaled to the frame below the first disc and having a ground engaging rim attached coaxially, and a motor mechanically connected to the first and second discs. The first disc and the second disc are vertically orientated, and a portion of the discs overlap and are juxtaposed to one another. The pair of discs preferably include a plurality of notches projecting into their respective outer perimeters. The discs rotate at a differential to one another from 1.2 to 2.5 depending upon the type of vines being cut. The ground engaging ring attached to the second disc determines the depth of penetration by the second disc into the ground. The discs preferably rotate opposite of one another with a lower portion of the second disc rotating with the movement of the frame with respect to the ground surface.",['Landeis; Marvin J.'],"I claim: 
     
       1. A vine cutter, comprising: a frame having a first end and a second end, said first end attachable to a front side portion of a potato harvester;   a cutting means attached to said second end of said frame for cutting vines of a crop;   wherein said cutting means penetrates a ground surface at a predetermined depth for cutting vines located in said ground; and   wherein said cutting means comprises: a first disc journaled to said frame and vertically oriented, wherein a plane of said first disc is parallel to a longitudinal axis of said frame; and   a second disc journaled to said frame and vertically oriented, wherein a plane of said second disc is parallel to said longitudinal axis of said frame;   a motor means mechanically connected to said first disc and said second disc for rotating said discs opposite of one another, wherein said second disc has an under rotation with a movement of said frame;   wherein said second disc is positioned below said first disc and engageable to said ground; and   wherein said first disc and said second disc have juxtaposed outer portions for cutting said vines.     
     
     
       2. The vine cutter of claim 1, wherein a ground engaging ring is secured coaxially to said second disc, wherein a radius of said ground engaging ring is shorter than a radius of said second disc for determining said predetermined depth at which said second disc penetrates said ground. 
     
     
       3. The vine cutter of claim 2, wherein said first disc and said second disc include a plurality of notches projecting into an outer perimeter thereof. 
     
     
       4. The vine cutter of claim 3, wherein a rotational ratio between said first disc and said second disc is between 1.2 and 2.5. 
     
     
       5. The vine cutter of claim 4, wherein said motor means comprises a hydraulic motor. 
     
     
       6. A vine cutter, comprising: a frame having a first end and a second end;   an attaching means secured to said first end for removably attaching said frame to a front side portion of a potato harvester;   a cutting means attached to said second end of said frame for cutting vines of a crop;   wherein said cutting means penetrates a ground surface at a predetermined depth for cutting vines located in said ground; and   wherein said cutting means comprises: a first disc journaled to said frame and vertically oriented, wherein a plane of said first disc is parallel to a longitudinal axis of said frame; and   a second disc journaled to said frame and vertically oriented, wherein a plane of said second disc is parallel to said longitudinal axis of said frame;   a motor means mechanically connected to said first disc and said second disc for rotating said discs opposite of one another, wherein said second disc has an under rotation with a movement of said frame;   wherein said second disc is positioned below said first disc and engageable to said ground; and   wherein said first disc and said second disc have juxtaposed outer portions for cutting said vines.     
     
     
       7. The vine cutter of claim 6, wherein a ground engaging ring is secured coaxially to said second disc, wherein a radius of said ground engaging ring is shorter than a radius of said second disc for determining said predetermined depth at which said second disc penetrates said ground. 
     
     
       8. The vine cutter of claim 6, wherein said first disc and said second disc include a plurality of notches projecting into an outer perimeter thereof. 
     
     
       9. The vine cutter of claim 8, wherein a rotational ratio between said first disc and said second disc is between 1.2 and 2.5. 
     
     
       10. The vine cutter of claim 9, wherein said motor means comprises a hydraulic motor. 
     
     
       11. A vine cutter for cutting potato vines, comprising: a frame having a first end and a second end, wherein said first end is attachable to a front side portion of a potato harvester; and   a cutting means attached to said second end of said frame for cutting said vines;   wherein said cutting means comprises: a first disc journaled to said frame and vertically oriented;   a second disc journaled to said frame and vertically oriented, wherein said second disc is positioned below said first disc;   a motor means mechanically connected to said first disc and said second disc for rotating said discs opposite of one another, wherein said second disc has an under rotation with a movement of said frame; and   wherein said first disc and said second disc have juxtaposed portions for cutting said vines.     
     
     
       12. The vine cutter of claim 11, wherein said second disc penetrates a ground surface at a predetermined depth for cutting vines located in said ground. 
     
     
       13. The vine cutter of claim 12, wherein a ground engaging ring is secured coaxially to said second disc, wherein a radius of said ground engaging ring is shorter than a radius of said second disc for determining said predetermined depth at which said second disc penetrates said ground. 
     
     
       14. The vine cutter of claim 11, wherein at least one of said first disc and said second disc include a plurality of notches projecting into an outer perimeter thereof. 
     
     
       15. The vine cutter of claim 11, wherein a rotational ratio between said first disc and said second disc is between 1.2 and 2.5. 
     
     
       16. The vine cutter of claim 11, wherein said motor means comprises a hydraulic motor."
C,US1760820,US-1760820-A,US-28110428-A,19300527.0,19300527.0,Adhesive tape,,['Minnesota Mining & Mfg'],"As a new article of manufacture, a sheeted material including a creped or toweled fabric base and a pressure sensitive adhesive coating on one face thereof."
